FF MESA-39327-62	MESA	AU3426H	39327	2.632258064516129	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-39327-63	MESA	AU3426 WIDE	39327	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-39327-66	MESA	AU3426 WIDE	39327	2.4727272727272727	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-40241-45	MESA	AU3426	40241	3.6266666666666665	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-40241-55	MESA	AU3426	40241	2.9672727272727273	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-40241-60	MESA	AU3426 WIDE	40241	2.72	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-40241-62	MESA	AU3426	40241	2.632258064516129	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-40241-63	MESA	AU3426 WIDE	40241	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-40241-66	MESA	AU3426 WIDE	40241	2.4727272727272727	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-40629-55	MESA	AU3426	40629	2.9672727272727273	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF MESA-40629-60	MESA	AU3426 WIDE	40629	2.72	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESAP-39833-63	MESAP	AU3426 WIDE	39833	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESAP-40241-62	MESAP	AU3426 WIDE	40241	2.632258064516129	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESAP-40412-63	MESAP	AU3426 WIDE	40412	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESASS-39833-45	MESASS	AU3426	39833	3.6266666666666665	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESASS-40668-45	MESASS	AU3426H	40668	3.6266666666666665	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MOLTO-NA-40055-57	MOLTO-NA	AU6563	40055	1.8275475923852182	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
